id,country,country_2,city,institution,cond,response,above40,male,coworkers,computer,other_bystanders
25095,38,UAE,327,3,1,0,0,1,1,1,1
25094,38,UAE,327,3,1,0,1,0,0,1,1
25087,38,UAE,327,2,1,0,1,1,0,0,0
25083,38,UAE,327,1,1,100,1,1,1,0,1
24919,38,UAE,241,3,0,0,0,0,0,1,1
25079,38,UAE,327,1,0,0,0,0,1,1,1
25155,38,UAE,340,4,0,0,1,1,1,1,1
25077,38,UAE,327,1,0,0,1,1,0,0,1
25015,38,UAE,267,4,0,0,0,1,1,1,1
24858,38,UAE,237,5,1,100,1,1,0,1,0
25018,38,UAE,267,4,1,0,0,1,0,1,0
25139,38,UAE,340,3,0,100,1,0,1,1,1
25043,38,UAE,267,5,1,0,0,1,0,0,1
24797,38,UAE,237,2,0,0,0,1,0,1,0
24917,38,UAE,241,2,1,0,0,1,0,1,1
24798,38,UAE,237,2,0,0,1,1,1,0,0
25032,38,UAE,267,5,0,0,0,1,0,0,1
25031,38,UAE,267,5,0,0,0,1,0,0,0
25030,38,UAE,267,5,0,0,0,0,0,0,1
24999,38,UAE,267,3,1,0,0,1,0,1,0
25022,38,UAE,267,4,1,100,0,0,0,1,1
25021,38,UAE,267,4,1,0,0,1,1,0,1
25019,38,UAE,267,4,1,0,0,1,0,1,1
25009,38,UAE,267,4,0,0,0,1,1,1,1
25116,38,UAE,340,1,0,0,0,0,0,1,1
25004,38,UAE,267,4,0,0,0,1,1,1,1
24991,38,UAE,267,3,0,100,1,1,0,1,1
24989,38,UAE,267,3,0,0,0,0,0,1,1
24988,38,UAE,267,3,0,0,1,1,1,1,0
24984,38,UAE,267,3,0,0,1,0,1,1,1
24978,38,UAE,267,2,1,100,0,0,0,1,1
25124,38,UAE,340,2,0,0,0,1,0,1,1
24973,38,UAE,267,2,1,100,0,0,1,1,1
24972,38,UAE,267,2,0,0,1,0,0,1,0
24933,38,UAE,241,5,0,0,0,1,0,1,1
24910,38,UAE,241,2,0,0,1,1,1,0,1
24982,38,UAE,267,2,1,0,0,0,1,1,1
25129,38,UAE,340,2,0,100,1,0,1,1,1
24964,38,UAE,267,2,0,0,1,0,1,1,1
24960,38,UAE,267,1,1,100,0,0,0,1,1
24957,38,UAE,267,1,1,0,0,0,1,1,1
24941,38,UAE,241,5,1,100,1,1,0,1,1
24939,38,UAE,241,5,1,100,0,1,0,1,1
24932,38,UAE,241,5,0,0,0,1,0,1,0
24929,38,UAE,241,4,0,0,0,0,1,1,0
25113,38,UAE,340,1,0,100,1,1,1,1,1
24909,38,UAE,241,2,0,0,0,1,0,1,1
24905,38,UAE,241,1,1,0,1,0,0,1,1
24888,38,UAE,240,5,0,0,0,1,1,0,0
24903,38,UAE,241,1,1,0,0,1,1,1,1
24902,38,UAE,241,1,1,100,1,0,1,1,1
24900,38,UAE,241,1,0,0,0,1,0,1,1
24890,38,UAE,240,5,1,0,1,1,1,0,0
25114,38,UAE,340,1,0,0,1,1,0,0,1
24885,38,UAE,240,5,0,0,0,1,1,1,1
24882,38,UAE,240,4,1,100,0,1,1,1,0
24879,38,UAE,240,3,1,100,0,1,0,1,1
24876,38,UAE,240,3,1,0,0,0,0,1,0
24868,38,UAE,240,2,0,0,0,1,0,0,1
24785,38,UAE,237,1,1,0,0,1,0,1,1
24863,38,UAE,240,1,1,100,0,0,0,1,1
25152,38,UAE,340,4,0,100,0,0,1,1,1
24859,38,UAE,240,1,0,0,1,1,1,1,1
24854,38,UAE,237,5,1,0,0,1,0,0,0
24851,38,UAE,237,5,1,100,0,0,0,1,0
24875,38,UAE,240,3,0,0,0,1,1,1,1
24839,38,UAE,237,5,0,0,0,1,1,0,1
24846,38,UAE,237,5,0,0,0,1,1,1,1
24845,38,UAE,237,5,0,100,0,1,0,1,1
24843,38,UAE,237,5,0,100,0,0,0,0,1
24840,38,UAE,237,5,0,0,0,1,1,1,0
24836,38,UAE,237,4,1,0,0,0,1,1,1
24834,38,UAE,237,4,1,100,0,1,0,0,1
24896,38,UAE,241,1,0,100,0,1,0,0,1
24831,38,UAE,237,4,0,0,0,0,1,1,0
25000,38,UAE,267,3,1,0,0,1,1,1,1
25056,38,UAE,273,2,0,0,0,1,0,0,0
24927,38,UAE,241,3,1,100,0,1,0,1,0
24821,38,UAE,237,3,1,0,0,0,0,1,1
24818,38,UAE,237,3,0,100,0,1,1,1,1
24817,38,UAE,237,3,0,0,0,1,0,1,1
24892,38,UAE,240,5,1,0,0,1,0,0,1
24864,38,UAE,240,1,1,0,1,0,1,1,1
