id,country,country_2,response
24782,38,UAE,100
25060,38,UAE,0
25092,38,UAE,0
24807,38,UAE,0
25051,38,UAE,0
24955,38,UAE,0
25058,38,UAE,100
24894,38,UAE,0
24789,38,UAE,0
25055,38,UAE,0
24874,38,UAE,0
25070,38,UAE,0
24889,38,UAE,100
24795,38,UAE,100
24923,38,UAE,0
24961,38,UAE,0
25033,38,UAE,0
24975,38,UAE,0
24921,38,UAE,0
24965,38,UAE,0
25102,38,UAE,0
25073,38,UAE,0
25163,38,UAE,0
25161,38,UAE,0
25035,38,UAE,0
25150,38,UAE,0
25127,38,UAE,0
25125,38,UAE,0
24778,38,UAE,100
25029,38,UAE,0
25107,38,UAE,0
25100,38,UAE,100
25097,38,UAE,0
25095,38,UAE,0
25094,38,UAE,0
25087,38,UAE,0
25083,38,UAE,100
24919,38,UAE,0
25079,38,UAE,0
25155,38,UAE,0
25077,38,UAE,0
25015,38,UAE,0
24858,38,UAE,100
25018,38,UAE,0
25139,38,UAE,100
25043,38,UAE,0
24797,38,UAE,0
24917,38,UAE,0
24798,38,UAE,0
25032,38,UAE,0
25031,38,UAE,0
25030,38,UAE,0
24999,38,UAE,0
25022,38,UAE,100
25021,38,UAE,0
25019,38,UAE,0
25009,38,UAE,0
25116,38,UAE,0
25004,38,UAE,0
24991,38,UAE,100
24989,38,UAE,0
24988,38,UAE,0
24984,38,UAE,0
24978,38,UAE,100
25124,38,UAE,0
24973,38,UAE,100
24972,38,UAE,0
24933,38,UAE,0
24910,38,UAE,0
24982,38,UAE,0
25129,38,UAE,100
24964,38,UAE,0
24960,38,UAE,100
24957,38,UAE,0
24941,38,UAE,100
24939,38,UAE,100
24932,38,UAE,0
24929,38,UAE,0
25113,38,UAE,100
24909,38,UAE,0
24905,38,UAE,0
24888,38,UAE,0
24903,38,UAE,0
24902,38,UAE,100
24900,38,UAE,0
24890,38,UAE,0
25114,38,UAE,0
24885,38,UAE,0
24882,38,UAE,100
24879,38,UAE,100
24876,38,UAE,0
24868,38,UAE,0
24785,38,UAE,0
24863,38,UAE,100
25152,38,UAE,100
24859,38,UAE,0
24854,38,UAE,0
24851,38,UAE,100
24875,38,UAE,0
24839,38,UAE,0
24846,38,UAE,0
24845,38,UAE,100
24843,38,UAE,100
24840,38,UAE,0
24836,38,UAE,0
24834,38,UAE,100
24896,38,UAE,100
24831,38,UAE,0
25000,38,UAE,0
25056,38,UAE,0
24927,38,UAE,100
24821,38,UAE,0
24818,38,UAE,100
24817,38,UAE,0
24892,38,UAE,0
24864,38,UAE,0
24796,38,UAE,100
24791,38,UAE,0
24792,38,UAE,0
24781,38,UAE,0
24775,38,UAE,0
24774,38,UAE,100
24773,38,UAE,0
24880,38,UAE,0
25072,38,UAE,0
24837,38,UAE,100
24804,38,UAE,0
24805,38,UAE,0
24849,38,UAE,0
25014,38,UAE,0
25081,38,UAE,100
24926,38,UAE,100
24861,38,UAE,0
24866,38,UAE,0
24800,38,UAE,0
25026,38,UAE,100
24944,38,UAE,100
25039,38,UAE,0
25064,38,UAE,0
24784,38,UAE,100
25084,38,UAE,100
25098,38,UAE,0
24844,38,UAE,0
24986,38,UAE,0
24998,38,UAE,0
25156,38,UAE,0
24772,38,UAE,0
25049,38,UAE,0
24811,38,UAE,0
25164,38,UAE,0
24787,38,UAE,0
25109,38,UAE,0
24813,38,UAE,0
25010,38,UAE,100
25047,38,UAE,0
25091,38,UAE,0
24967,38,UAE,100
25036,38,UAE,0
25123,38,UAE,100
24801,38,UAE,0
10231,1,Argentina,100
10293,1,Argentina,100
10050,1,Argentina,100
10112,1,Argentina,0
10331,1,Argentina,0
10315,1,Argentina,0
10089,1,Argentina,0
10101,1,Argentina,100
